student_id;dai_so_tuyen_tinh;giai_tich;giai_tich_so;kien_truc_may_tinh;lap_trinh_python_co_ban;cau_truc_du_lieu_va_giai_thuat;co_so_ky_thuat_lap_trinh;co_so_du_lieu;lap_trinh_huong_doi_tuong;lap_trinh_ung_dung_windows_form;phap_luat_dai_cuong;ky_nang_mem;tieng_anh_tang_cuong;giao_duc_the_chat_1;giao_duc_the_chat_2;giao_duc_the_chat_3;cong_nghe_phan_mem;do_an_1;kiem_thu_phan_mem;thiet_ke_web_co_ban;tieng_anh_1;xac_suat_thong_ke
so_tin_chi;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;4.0;1;1.0;1.0;3.0;3.0;3.0;3.0;2.0;3.0
12521097;6.7;9.5;9.9;9.5;8.8;9.4;9.1;8.7;9.8;9.5;8.3;8.8;6.5;9;7.0;7.0;4.9;9.0;8.4;9.5;8.5;9.7
12521054;8.0;9.0;9.3;7.5;7.2;7.9;8.0;8.0;9.2;8.0;9.0;8.9;5.5;10;9.0;8.0;6.9;8.7;7.6;8.5;7.7;9.6
12521111;2.0;8.1;7.7;7.8;6.3;7.4;7.9;7.5;7.8;6.8;7.0;8.9;3.5;8;8.0;7.0;4.9;8.9;6.8;7.0;6.8;9.0
10121164;7.3;7.7;3.3;6.5;8.8;5.4;7.5;6.0;7.9;5.0;7.8;8.4;3.0;7;7.0;8.0;8.4;6.9;6.7;6.5;7.1;5.9
10121688;4.9;8.3;6.3;7.0;7.5;6.2;5.4;6.7;6.9;5.0;7.5;8.9;4.0;6;7.0;7.0;7.8;8.0;6.8;6.0;6.5;5.4
12521124;7.3;7.7;4.6;6.0;9.0;6.4;5.9;7.0;6.9;4.5;7.8;8.5;3.5;8;8.0;9.0;8.5;5.0;5.6;6.0;7.1;6.6
12521041;6.5;9.3;9.5;8.3;9.0;7.2;7.2;6.4;8.7;5.3;8.0;8.6;4.0;7;8.0;8.0;7.8;8.7;7.1;6.3;6.6;9.5
10121516;7.2;6.7;4.4;7.5;7.7;5.9;6.4;5.7;7.9;4.5;8.8;8.7;2.5;7;7.0;6.0;8.9;2.0;6.6;2.8;6.5;5.7
10121366;7.2;6.9;6.5;6.3;7.5;6.7;6.7;6.4;7.4;4.5;6.5;9.0;3.5;9;6.0;8.0;9.3;7.0;6.9;7.0;7.6;6.3
10121256;7.3;7.7;7.9;5.8;7.8;7.5;8.3;7.7;9.2;5.5;6.5;8.7;3.5;8;8.0;7.0;6.2;8.8;7.5;8.5;7.6;8.2
10121846;8.5;9.1;7.4;8.3;7.5;6.8;6.3;7.2;8.7;5.5;7.8;9.3;0.0;6;9.0;8.0;5.6;8.0;8.2;8.8;8.8;8.2
10121611;7.4;7.9;6.7;6.5;7.9;5.7;5.7;6.8;7.3;5.0;8.3;8.4;0.0;9;8.0;8.0;9.0;8.0;6.7;5.5;6.8;7.2
10121496;5.8;8.7;7.3;4.5;5.2;4.8;5.2;4.9;5.7;4.5;7.8;8.7;3.5;7;7.0;6.0;5.5;6.8;6.9;3.8;7.1;6.6
10121210;9.2;8.0;5.7;7.5;7.0;7.5;8.1;5.8;8.0;5.0;7.8;7.8;4.0;8;7.0;7.0;8.0;7.7;6.4;6.0;7.2;6.7
12521018;8.2;6.6;6.6;5.0;8.0;5.3;5.4;6.8;7.4;4.5;7.8;8.4;4.0;8;7.0;8.0;6.5;7.0;7.3;8.0;7.2;5.9
10620151;6.9;7.5;4.7;8.0;8.9;7.3;7.1;5.4;5.3;4.5;8.5;8.5;4.5;6;9.0;8.0;5.0;2.8;6.5;2.5;7.1;6.2
10121226;7.2;7.7;5.8;7.0;8.5;5.7;6.6;6.2;7.5;4.5;7.8;7.7;4.0;7;7.0;7.0;6.0;2.8;6.4;2.5;6.4;5.4
10121225;8.2;6.9;5.9;6.0;8.8;4.7;6.5;5.9;7.2;4.5;8.0;7.7;2.5;8;7.0;6.0;6.3;6.5;6.9;6.3;7.0;5.2
10121201;8.3;8.9;8.1;6.3;7.2;7.9;7.8;7.2;8.4;5.5;8.3;8.9;4.0;7;8.0;7.0;8.3;8.0;7.4;9.6;7.1;8.9
12521140;8.8;8.4;6.7;6.3;7.8;8.0;6.7;7.9;8.8;2.5;7.5;8.4;2.5;7;8.0;7.0;8.5;7.5;7.8;6.5;6.5;8.9
10121532;6.8;7.8;4.9;7.3;6.5;0.0;7.4;6.0;6.5;4.5;6.5;7.6;3.0;7;7.0;8.0;7.3;6.4;6.4;5.3;6.6;5.3
10121658;7.0;7.9;5.8;5.5;6.8;6.6;7.3;6.8;6.9;2.5;8.0;8.7;0.0;7;5.0;8.0;0.0;1.5;1.5;5.3;5.3;8.8
12220143;9.5;9.1;8.4;9.5;7.9;8.1;8.4;7.4;9.4;8.0;8.5;8.7;3.5;8;6.0;8.0;9.3;9.3;8.4;8.9;7.4;9.8
10119133;8.0;7.0;8.2;0.0;7.5;6.0;6.8;6.8;6.3;7.0;4.3;7.8;;8;8.0;6.0;7.8;7.8;6.7;7.5;7.0;5.7
12521147;8.5;7.9;6.9;7.5;5.5;7.7;8.0;8.0;8.7;2.5;8.0;8.4;0.0;6;6.0;5.0;7.0;6.2;5.8;7.0;0.0;6.0
11021274;8.5;9.2;8.5;7.5;9.5;9.2;8.8;7.3;9.4;9.5;8.5;8.9;4.5;7;8.0;6.0;7.8;7.5;7.5;8.3;9.0;9.5
10121122;8.2;5.8;3.8;5.8;6.3;4.9;6.4;7.4;7.8;5.0;7.8;8.2;3.0;8;8.0;8.0;7.5;7.0;6.8;7.3;6.4;4.4
10121345;7.4;6.9;4.7;3.5;6.9;5.2;5.4;6.3;7.5;2.5;7.3;8.0;3.0;7;7.0;8.0;3.0;1.3;2.4;2.5;5.7;4.7
12221322;8.0;6.9;9.3;7.8;8.4;7.2;7.1;7.3;9.3;5.5;7.3;8.9;5.5;8;6.0;8.0;8.8;7.5;8.1;9.0;8.3;9.2
10121954;7.5;6.7;8.6;5.5;8.0;6.7;6.5;6.5;8.7;5.0;7.8;8.7;5.5;8;7.0;8.0;8.0;5.5;7.2;7.5;7.9;8.8
12521170;5.3;7.4;7.2;7.0;8.5;6.2;6.1;5.7;6.9;5.5;6.0;9.0;5.0;0;8.0;6.0;7.5;6.2;6.1;3.8;9.0;8.9
12521155;9.4;6.2;6.3;7.3;6.7;6.7;8.0;7.7;7.0;5.8;7.3;6.0;7.3;8;7.5;7.0;8.2;2.5;4.3;6.1;6.2;6.4
